triple,bgp,join,leftjoin,union,filter,graph,extend,minus,path*,pathN*,path+,pathN+,notoneof,tolist,order,project,distinct,reduced,multi,top,group,assign,sequence,slice,treesize,pcs0,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,pcs7,pcs8,pcs9,ex_time
7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.060606061,0.0625,0.066666667,0.060606061,0.064516129,0.0625,0.0625,0.060606061,0.060606061,0.064516129,169
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,49
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,56
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.0625,0.666666667,41
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10000,5,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,37
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.0625,0.666666667,21
3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0.285714286,0.285714286,0.4,0.285714286,1,0.285714286,0.285714286,0.285714286,0.064516129,0.333333333,35
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,35
2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,1,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,23
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,28
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10000,5,0.5,0.4,1,0.4,0.4,0.4,0.4,0.4,0.0625,0.5,22
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,20
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,33
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.0625,0.666666667,18
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,20
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,19
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,26
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,18
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,24
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,21
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,22
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,26
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,16
2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,16
7,6,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.181818182,0.181818182,0.2,0.181818182,0.222222222,0.181818182,0.181818182,0.181818182,0.071428571,0.181818182,486
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,18
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,19
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,18
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,19
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,15
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,16
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,33
13,10,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.060606061,0.058823529,0.0625,0.060606061,0.064516129,0.060606061,0.060606061,0.058823529,1,0.060606061,29
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,18
13,10,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.060606061,0.058823529,0.0625,0.060606061,0.0625,0.060606061,0.060606061,0.058823529,1,0.060606061,28
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,21
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,25
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,17
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.0625,0.666666667,15
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.25,0.25,0.285714286,0.25,0.285714286,0.25,0.25,0.25,0.0625,0.25,47
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,23
2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10000,5,0.5,0.4,1,0.4,0.4,0.4,0.4,0.4,0.0625,0.5,30
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,1,0.058823529,0.666666667,21
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,14
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,16
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,17
12,10,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.095238095,0.095238095,0.095238095,0.095238095,0.095238095,0.095238095,0.095238095,0.095238095,0.08,0.095238095,260
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,18
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.666666667,0.5,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.060606061,0.666666667,25
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666667,0.666666667,0.4,0.666666667,0.285714286,0.666666667,0.666666667,0.666666667,0.058823529,0.666666667,23
