inst#,actual,predicted,error
1,1,2.497,1.497
2,1,2.497,1.497
3,1,2.497,1.497
4,1,2.497,1.497
5,1,2.497,1.497
6,1,2.497,1.497
7,1,2.497,1.497
8,1,2.497,1.497
9,1,2.497,1.497
10,1,2.497,1.497
11,1,2.497,1.497
12,1,2.497,1.497
13,1,2.497,1.497
14,1,2.497,1.497
15,1,2.497,1.497
16,1,2.497,1.497
17,1,2.497,1.497
18,1,2.497,1.497
19,1,2.497,1.497
20,1,2.497,1.497
21,1,2.497,1.497
22,1,2.497,1.497
23,1,2.497,1.497
24,1,2.497,1.497
25,1,2.497,1.497
26,1,2.497,1.497
27,1,2.497,1.497
28,1,2.497,1.497
29,1,2.497,1.497
30,1,2.497,1.497
31,1,2.497,1.497
32,1,2.497,1.497
33,1,2.497,1.497
34,1,2.497,1.497
35,1,2.497,1.497
36,1,2.497,1.497
37,1,2.497,1.497
38,1,2.497,1.497
39,1,2.497,1.497
40,1,2.497,1.497
41,1,2.497,1.497
42,1,2.497,1.497
43,1,2.497,1.497
44,1,2.497,1.497
45,1,2.497,1.497
46,1,2.497,1.497
47,1,2.497,1.497
48,1,2.497,1.497
49,1,2.497,1.497
50,1,2.497,1.497
51,1,2.497,1.497
52,1,2.497,1.497
53,1,2.497,1.497
54,1,2.497,1.497
55,1,2.497,1.497
56,1,2.497,1.497
57,1,2.497,1.497
58,1,2.497,1.497
59,1,2.497,1.497
60,1,2.497,1.497
61,22,21.097,-0.903
62,20,21.097,1.097
63,19.6,21.097,1.497
64,19.6,21.097,1.497
65,19.6,21.097,1.497
66,19.8,21.097,1.297
67,19.8,21.097,1.297
68,36.4,21.097,-15.303
69,19.6,21.097,1.497
70,19.6,21.097,1.497
71,19.6,21.097,1.497
72,19.8,21.097,1.297
73,19.6,21.097,1.497
74,19.6,21.097,1.497
75,19.6,21.097,1.497
76,19.6,21.097,1.497
77,19.6,21.097,1.497
78,19.8,21.097,1.297
79,24,18.497,-5.503
80,20,18.497,-1.503
81,20.2,18.497,-1.703
82,20,18.497,-1.503
83,20.2,18.497,-1.703
84,20,18.497,-1.503
85,20,21.097,1.097
86,20,21.097,1.097
87,20,21.097,1.097
88,20,21.097,1.097
89,20,18.497,-1.503
90,20,25.259,5.259
91,20,21.097,1.097
92,19.6,21.097,1.497
93,19.6,21.097,1.497
94,19.8,18.497,-1.303
95,19.8,18.497,-1.303
96,19.6,21.097,1.497
97,19.6,21.097,1.497
98,19.6,21.097,1.497
99,19.6,21.097,1.497
100,19.8,21.097,1.297
101,19.6,21.097,1.497
102,19.6,21.097,1.497
103,19.6,21.097,1.497
104,19.6,21.097,1.497
105,19.6,21.097,1.497
106,19.6,21.097,1.497
107,19.6,21.097,1.497
108,19.6,21.097,1.497
109,19.6,21.097,1.497
110,19.6,21.097,1.497
111,19.6,21.097,1.497
112,19.6,18.497,-1.103
113,19.6,21.097,1.497
114,19.6,21.097,1.497
115,19.8,18.497,-1.303
116,19.8,21.097,1.297
117,20,21.097,1.097
118,19.6,21.097,1.497
119,35.8,18.497,-17.303
120,19.6,21.097,1.497
121,8963.6,9022.896,59.296
122,9039.8,8984.519,-55.281
123,8967.2,8857.518,-109.682
124,9049.8,9022.896,-26.904
125,8947.2,8959.013,11.813
126,8970,8959.013,-10.987
127,9184,8984.519,-199.481
128,9142.2,8984.519,-157.681
129,8995,8857.518,-137.482
130,9207,8984.519,-222.481
131,9036.8,8857.518,-179.282
132,8968.8,8984.519,15.719
133,8997.6,8984.519,-13.081
134,9115.8,9022.896,-92.904
135,8921.4,9022.896,101.496
136,9009.2,8984.519,-24.681
137,9047.2,8905.517,-141.683
138,9010.2,9022.896,12.696
139,8972.4,9022.896,50.496
140,8932.8,9022.896,90.096
141,9026.6,9022.896,-3.704
142,9045.6,8905.517,-140.083
143,9045.6,8905.517,-140.083
144,8976.2,9022.896,46.696
145,8998.8,9022.896,24.096
146,8981.8,8984.519,2.719
147,8987.2,9022.896,35.696
148,8936.8,9022.896,86.096
149,8991.2,8984.519,-6.681
150,8968.4,8857.518,-110.882
151,9036,9022.896,-13.104
152,8974.6,8959.013,-15.587
153,8979,8984.519,5.519
154,9145.8,9022.896,-122.904
155,9083.6,8984.519,-99.081
156,8937,8857.518,-79.482
157,8973.4,8984.519,11.119
158,9021.4,9022.896,1.496
159,9034.6,8984.519,-50.081
160,9038.2,8857.518,-180.682
