inst#,actual,predicted,error
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,0
8,1,1,0
9,1,1,0
10,1,1,0
11,1,1,0
12,1,1,0
13,1,1,0
14,1,1,0
15,1,1,0
16,1,1,0
17,1,1,0
18,1,1,0
19,1,1,0
20,1,1,0
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
25,1,1,0
26,1,1,0
27,1,1,0
28,1,1,0
29,1,1,0
30,1,1,0
31,1,1,0
32,1,1,0
33,1,1,0
34,1,1,0
35,1,1,0
36,1,1,0
37,1,1,0
38,1,1,0
39,1,1,0
40,1,1,0
41,1,1,0
42,1,1,0
43,1,1,0
44,1,1,0
45,1,1,0
46,1,1,0
47,1,1,0
48,1,1,0
49,1,1,0
50,1,1,0
51,1,1,0
52,1,1,0
53,1,1,0
54,1,1,0
55,1,1,0
56,1,1,0
57,1,1,0
58,1,1,0
59,1,1,0
60,1,1,0
61,13.8,13.999,0.199
62,13.8,13.999,0.199
63,13.8,13.999,0.199
64,14,13.999,-0.001
65,13.8,13.999,0.199
66,13.8,13.999,0.199
67,13.8,13.999,0.199
68,14,13.999,-0.001
69,13.8,13.999,0.199
70,13.8,13.999,0.199
71,13.8,13.999,0.199
72,13.8,13.999,0.199
73,13.8,13.999,0.199
74,13.8,13.999,0.199
75,13.8,13.999,0.199
76,13.8,13.999,0.199
77,13.8,13.999,0.199
78,14.2,13.999,-0.201
79,14,14,0
80,14,14,0
81,14,14,0
82,14,14,0
83,14,14,0
84,14,14,0
85,14,13.999,-0.001
86,14,13.999,-0.001
87,14,13.999,-0.001
88,14,13.999,-0.001
89,14,14,0
90,14,13.999,-0.001
91,14.2,13.999,-0.201
92,14.2,13.999,-0.201
93,14,13.999,-0.001
94,14,14,0
95,14,14,0
96,14,13.999,-0.001
97,14,13.999,-0.001
98,14,13.999,-0.001
99,14,13.999,-0.001
100,14,13.999,-0.001
101,14,13.999,-0.001
102,14,13.999,-0.001
103,14,13.999,-0.001
104,14,13.999,-0.001
105,14,13.999,-0.001
106,14,13.999,-0.001
107,14,13.999,-0.001
108,14,13.999,-0.001
109,14,13.999,-0.001
110,14,13.999,-0.001
111,14,13.999,-0.001
112,14,14,0
113,14,13.999,-0.001
114,14,13.999,-0.001
115,14,14,0
116,14,13.999,-0.001
117,13.8,13.999,0.199
118,14,13.999,-0.001
119,14,14,0
120,14,13.999,-0.001
121,1,1,0
122,1,0.962,-0.038
123,1,1.22,0.22
124,1,1,0
125,1,1.187,0.187
126,1,1.187,0.187
127,1,0.962,-0.038
128,1,0.962,-0.038
129,1,1.22,0.22
130,1,0.962,-0.038
131,1,1.22,0.22
132,1,0.962,-0.038
133,1,0.962,-0.038
134,1,1,0
135,1,1,0
136,1,0.962,-0.038
137,1,0.95,-0.05
138,1,1,0
139,1,1,0
140,1,1,0
141,1,1,0
142,1,0.95,-0.05
143,1,0.95,-0.05
144,1,1,0
145,1,1,0
146,1,0.962,-0.038
147,1,1,0
148,1,1,0
149,1,0.962,-0.038
150,1,1.22,0.22
151,1,1,0
152,1,1.187,0.187
153,1,0.962,-0.038
154,1,1,0
155,1,0.962,-0.038
156,1,1.22,0.22
157,1,0.962,-0.038
158,1,1,0
159,1,0.962,-0.038
160,1,1.22,0.22
161,1,0.962,-0.038
162,1,1,0
163,1,0.962,-0.038
164,1,1,0
165,1,1.187,0.187
166,1,1.187,0.187
167,1,0.962,-0.038
168,1,1,0
169,1,1,0
170,1,1,0
171,1,1,0
172,1,1,0
173,1,1,0
174,1,1,0
175,1,0.962,-0.038
176,1,0.962,-0.038
177,1,1,0
178,1,1,0
179,1,1.22,0.22
180,1,0.962,-0.038
181,1,1,0
182,1,1,0
183,1,1,0
184,1,1,0
185,1,1,0
186,1,1,0
187,1,1,0
188,1,1,0
189,1,1,0
190,1,1,0
191,1,1,0
192,1,1,0
193,1,1,0
194,1,1,0
195,1,1,0
196,1,1,0
197,1,1,0
198,1,1,0
199,1,1,0
200,1,1,0
201,1,1,0
202,1,1,0
203,1,1,0
204,1,1,0
205,1,1,0
206,1,1,0
207,1,1,0
208,1,1,0
209,1,1,0
210,1,1,0
211,1,1,0
212,1,1,0
213,1,1,0
214,1,1,0
215,1,1,0
216,1,1,0
217,1,1,0
218,1,1,0
219,1,1,0
220,1,1,0
221,1,1,0
222,1,1,0
223,1,1,0
224,1,1,0
225,1,1,0
226,1,1,0
227,1,1,0
228,1,1,0
229,1,1,0
230,1,1,0
231,1,1,0
232,1,1,0
233,1,1,0
234,1,1,0
235,1,1,0
236,1,1,0
237,1,1,0
238,1,1,0
239,1,1,0
240,1,1,0
241,19.6,20.2,0.6
242,20.2,20.2,0
243,20.2,20.2,0
244,20,20.2,0.2
245,20.2,20.2,0
246,20.2,20.2,0
247,20.2,20.2,0
248,20,20.2,0.2
249,20.2,20.2,0
250,20.2,20.2,0
251,20.2,20.2,0
252,20.2,20.2,0
253,20,20.2,0.2
254,20,20.2,0.2
255,20,20.2,0.2
256,20.2,20.2,0
257,20.2,20.2,0
258,19.8,20.2,0.4
259,19.8,20.2,0.4
260,20.2,20.2,0
261,20.2,20.2,0
262,20,20.2,0.2
263,20,20.2,0.2
264,20.4,20.2,-0.2
265,20,20.2,0.2
266,20.6,20.2,-0.4
267,20.4,20.2,-0.2
268,20.2,20.2,0
269,20.6,20.2,-0.4
270,20.6,20.2,-0.4
271,20.6,20.2,-0.4
272,20.4,20.2,-0.2
273,20.2,20.2,0
274,20.4,20.2,-0.2
275,20.4,20.2,-0.2
276,20.2,20.2,0
277,20.4,20.2,-0.2
278,20.2,20.2,0
279,20.4,20.2,-0.2
280,20.4,20.2,-0.2
281,20.2,20.2,0
282,20.4,20.2,-0.2
283,20.4,20.2,-0.2
