@relation x_features.txt_x_features_simvec.txt-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Standardize_y_time.txt

@attribute triple numeric
@attribute bgp numeric
@attribute join numeric
@attribute leftjoin numeric
@attribute union numeric
@attribute filter numeric
@attribute project numeric
@attribute distinct numeric
@attribute treesize numeric
@attribute pcs0 numeric
@attribute pcs1 numeric
@attribute pcs2 numeric
@attribute pcs3 numeric
@attribute pcs4 numeric
@attribute ex_time numeric

@data
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.248398,-0.229736,0.744874,-0.230681,-0.29409,1
