inst#,actual,predicted,error
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
6,1,1,0
7,1,1,0
8,1,1,0
9,1,1,0
10,1,1,0
11,1,1,0
12,1,1,0
13,1,1,0
14,1,1,0
15,1,1,0
16,1,1,0
17,1,1,0
18,1,1,0
19,1,1,0
20,1,1,0
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
25,1,1,0
26,1,1,0
27,1,1,0
28,1,1,0
29,1,1,0
30,1,1,0
31,1,1,0
32,1,1,0
33,1,1,0
34,1,1,0
35,1,1,0
36,1,1,0
37,1,1,0
38,1,1,0
39,1,1,0
40,1,1,0
41,1,1,0
42,1,1,0
43,1,1,0
44,1,1,0
45,1,1,0
46,1,1,0
47,1,1,0
48,1,1,0
49,1,1,0
50,1,1,0
51,1,1,0
52,1,1,0
53,1,1,0
54,1,1,0
55,1,1,0
56,1,1,0
57,1,1,0
58,1,1,0
59,1,1,0
60,1,1,0
61,13.8,13.8,0
62,13.8,13.8,0
63,13.8,13.8,0
64,14,13.8,-0.2
65,13.8,13.8,0
66,13.8,13.8,0
67,13.8,13.8,0
68,14,13.8,-0.2
69,13.8,13.8,0
70,13.8,13.8,0
71,13.8,13.8,0
72,13.8,13.8,0
73,13.8,13.8,0
74,13.8,13.8,0
75,13.8,13.8,0
76,13.8,13.8,0
77,13.8,13.8,0
78,14.2,13.8,-0.4
79,14,13.8,-0.2
80,14,13.8,-0.2
81,14,13.8,-0.2
82,14,13.8,-0.2
83,14,13.8,-0.2
84,14,13.8,-0.2
85,14,13.8,-0.2
86,14,13.8,-0.2
87,14,13.8,-0.2
88,14,13.8,-0.2
89,14,13.8,-0.2
90,14,13.8,-0.2
91,14.2,13.8,-0.4
92,14.2,13.8,-0.4
93,14,13.8,-0.2
94,14,13.8,-0.2
95,14,13.8,-0.2
96,14,13.8,-0.2
97,14,13.8,-0.2
98,14,13.8,-0.2
99,14,13.8,-0.2
100,14,13.8,-0.2
101,14,13.8,-0.2
102,14,13.8,-0.2
103,14,13.8,-0.2
104,14,13.8,-0.2
105,14,13.8,-0.2
106,14,13.8,-0.2
107,14,13.8,-0.2
108,14,13.8,-0.2
109,14,13.8,-0.2
110,14,13.8,-0.2
111,14,13.8,-0.2
112,14,13.8,-0.2
113,14,13.8,-0.2
114,14,13.8,-0.2
115,14,13.8,-0.2
116,14,13.8,-0.2
117,13.8,13.8,0
118,14,13.8,-0.2
119,14,13.8,-0.2
120,14,13.8,-0.2
121,1,1.001,0.001
122,1,1.001,0.001
123,1,1.001,0.001
124,1,1.001,0.001
125,1,1.001,0.001
126,1,1.001,0.001
127,1,1.001,0.001
128,1,1.001,0.001
129,1,1.001,0.001
130,1,1.001,0.001
131,1,1.001,0.001
132,1,1.001,0.001
133,1,1.001,0.001
134,1,1.001,0.001
135,1,1.001,0.001
136,1,1.001,0.001
137,1,1.001,0.001
138,1,1.001,0.001
139,1,1.001,0.001
140,1,1.001,0.001
141,1,1.001,0.001
142,1,1.001,0.001
143,1,1.001,0.001
144,1,1.001,0.001
145,1,1.001,0.001
146,1,1.001,0.001
147,1,1.001,0.001
148,1,1.001,0.001
149,1,1.001,0.001
150,1,1.001,0.001
151,1,1.001,0.001
152,1,1.001,0.001
153,1,1.001,0.001
154,1,1.001,0.001
155,1,1.001,0.001
156,1,1.001,0.001
157,1,1.001,0.001
158,1,1.001,0.001
159,1,1.001,0.001
160,1,1.001,0.001
161,1,1.001,0.001
162,1,1.001,0.001
163,1,1.001,0.001
164,1,1.001,0.001
165,1,1.001,0.001
166,1,1.001,0.001
167,1,1.001,0.001
168,1,1.001,0.001
169,1,1.001,0.001
170,1,1.001,0.001
171,1,1.001,0.001
172,1,1.001,0.001
173,1,1.001,0.001
174,1,1.001,0.001
175,1,1.001,0.001
176,1,1.001,0.001
177,1,1.001,0.001
178,1,1.001,0.001
179,1,1.001,0.001
180,1,1.001,0.001
181,1,1,0
182,1,1,0
183,1,1,0
184,1,1,0
185,1,1,0
186,1,1,0
187,1,1,0
188,1,1,0
189,1,1,0
190,1,1,0
191,1,1,0
192,1,1,0
193,1,1,0
194,1,1,0
195,1,1,0
196,1,1,0
197,1,1,0
198,1,1,0
199,1,1,0
200,1,1,0
201,1,1,0
202,1,1,0
203,1,1,0
204,1,1,0
205,1,1,0
206,1,1,0
207,1,1,0
208,1,1,0
209,1,1,0
210,1,1,0
211,1,1,0
212,1,1,0
213,1,1,0
214,1,1,0
215,1,1,0
216,1,1,0
217,1,1,0
218,1,1,0
219,1,1,0
220,1,1,0
221,1,1,0
222,1,1,0
223,1,1,0
224,1,1,0
225,1,1,0
226,1,1,0
227,1,1,0
228,1,1,0
229,1,1,0
230,1,1,0
231,1,1,0
232,1,1,0
233,1,1,0
234,1,1,0
235,1,1,0
236,1,1,0
237,1,1,0
238,1,1,0
239,1,1,0
240,1,1,0
241,19.6,15.506,-4.094
242,20.2,15.506,-4.694
243,20.2,15.506,-4.694
244,20,15.506,-4.494
245,20.2,15.506,-4.694
246,20.2,15.506,-4.694
247,20.2,15.506,-4.694
248,20,15.506,-4.494
249,20.2,15.506,-4.694
250,20.2,15.506,-4.694
251,20.2,15.506,-4.694
252,20.2,15.506,-4.694
253,20,15.506,-4.494
254,20,15.506,-4.494
255,20,15.506,-4.494
256,20.2,15.506,-4.694
257,20.2,15.506,-4.694
258,19.8,15.506,-4.294
259,19.8,15.506,-4.294
260,20.2,15.506,-4.694
261,20.2,15.506,-4.694
262,20,15.506,-4.494
263,20,15.506,-4.494
264,20.4,15.506,-4.894
265,20,15.506,-4.494
266,20.6,15.506,-5.094
267,20.4,15.506,-4.894
268,20.2,15.506,-4.694
269,20.6,15.506,-5.094
270,20.6,15.506,-5.094
271,20.6,15.506,-5.094
