inst#,actual,predicted,error
1,1,-5.983,-6.983
2,1,-5.983,-6.983
3,1,-5.983,-6.983
4,1,-5.983,-6.983
5,1,-5.983,-6.983
6,1,-5.983,-6.983
7,1,-5.983,-6.983
8,1,-5.983,-6.983
9,1,-5.983,-6.983
10,1,-5.983,-6.983
11,1,-5.983,-6.983
12,1,-5.983,-6.983
13,1,-5.983,-6.983
14,1,-5.983,-6.983
15,1,-5.983,-6.983
16,1,-5.983,-6.983
17,1,-5.983,-6.983
18,1,-5.983,-6.983
19,1,-5.983,-6.983
20,1,-5.983,-6.983
21,1,-5.983,-6.983
22,1,-5.983,-6.983
23,1,-5.983,-6.983
24,1,-5.983,-6.983
25,1,-5.983,-6.983
26,1,-5.983,-6.983
27,1,-5.983,-6.983
28,1,-5.983,-6.983
29,1,-5.983,-6.983
30,1,-5.983,-6.983
31,1,-5.983,-6.983
32,1,-5.983,-6.983
33,1,-5.983,-6.983
34,1,-5.983,-6.983
35,1,-5.983,-6.983
36,1,-5.983,-6.983
37,1,-5.983,-6.983
38,1,-5.983,-6.983
39,1,-5.983,-6.983
40,1,-5.983,-6.983
41,1,-5.983,-6.983
42,1,-5.983,-6.983
43,1,-5.983,-6.983
44,1,-5.983,-6.983
45,1,-5.983,-6.983
46,1,-5.983,-6.983
47,1,-5.983,-6.983
48,1,-5.983,-6.983
49,1,-5.983,-6.983
50,1,-5.983,-6.983
51,1,-5.983,-6.983
52,1,-5.983,-6.983
53,1,-5.983,-6.983
54,1,-5.983,-6.983
55,1,-5.983,-6.983
56,1,-5.983,-6.983
57,1,-5.983,-6.983
58,1,-5.983,-6.983
59,1,-5.983,-6.983
60,1,-5.983,-6.983
61,22,26.604,4.604
62,20,26.604,6.604
63,19.6,26.604,7.004
64,19.6,26.604,7.004
65,19.6,26.604,7.004
66,19.8,26.604,6.804
67,19.8,26.604,6.804
68,36.4,26.604,-9.796
69,19.6,26.604,7.004
70,19.6,26.604,7.004
71,19.6,26.604,7.004
72,19.8,26.604,6.804
73,19.6,26.604,7.004
74,19.6,26.604,7.004
75,19.6,26.604,7.004
76,19.6,26.604,7.004
77,19.6,26.604,7.004
78,19.8,26.604,6.804
79,24,26.604,2.604
80,20,26.604,6.604
81,20.2,26.604,6.404
82,20,26.604,6.604
83,20.2,26.604,6.404
84,20,26.604,6.604
85,20,26.604,6.604
86,20,26.604,6.604
87,20,26.604,6.604
88,20,26.604,6.604
89,20,26.604,6.604
90,20,26.604,6.604
91,20,26.604,6.604
92,19.6,26.604,7.004
93,19.6,26.604,7.004
94,19.8,26.604,6.804
95,19.8,26.604,6.804
96,19.6,26.604,7.004
97,19.6,26.604,7.004
98,19.6,26.604,7.004
99,19.6,26.604,7.004
100,19.8,26.604,6.804
101,19.6,26.604,7.004
102,19.6,26.604,7.004
103,19.6,26.604,7.004
104,19.6,26.604,7.004
105,19.6,26.604,7.004
106,19.6,26.604,7.004
107,19.6,26.604,7.004
108,19.6,26.604,7.004
109,19.6,26.604,7.004
110,19.6,26.604,7.004
111,19.6,26.604,7.004
112,19.6,26.604,7.004
113,19.6,26.604,7.004
114,19.6,26.604,7.004
115,19.8,26.604,6.804
116,19.8,26.604,6.804
117,20,26.604,6.604
118,19.6,26.604,7.004
119,35.8,26.604,-9.196
120,19.6,26.604,7.004
121,8963.6,8949.2,-14.4
122,9039.8,8949.2,-90.6
123,8967.2,8949.2,-18
124,9049.8,8949.2,-100.6
125,8947.2,8949.2,2
126,8970,8949.2,-20.8
127,9184,8949.2,-234.8
128,9142.2,8949.2,-193
129,8995,8949.2,-45.8
130,9207,8949.2,-257.8
131,9036.8,8949.2,-87.6
132,8968.8,8949.2,-19.6
133,8997.6,8949.2,-48.4
134,9115.8,8949.2,-166.6
135,8921.4,8949.2,27.8
136,9009.2,8949.2,-60
137,9047.2,8949.2,-98
138,9010.2,8949.2,-61
139,8972.4,8949.2,-23.2
